time	x	y
0.0	20.7196	3.1698
1000.0	17.5813	2.18524
2000.0	16.9301	2.02481
3000.0	17.1953	1.87089
4000.0	18.2842	2.3934
5000.0	18.8984	2.34582
6000.0	19.7497	2.87393
7000.0	20.3795	2.99737
8000.0	20.926	3.37518
9000.0	19.9162	2.93857
10000.0	19.5141	2.79055
11000.0	20.6209	3.04199
12000.0	20.7738	3.2298
13000.0	21.3834	3.63926
14000.0	21.1295	3.48322
15000.0	20.7365	3.17995
16000.0	20.331	2.99604
17000.0	21.2907	3.56467
18000.0	21.7123	3.78121
19000.0	22.3328	4.15371
20000.0	23.2399	4.80308
21000.0	22.9682	4.6905
22000.0	24.9462	6.51021
23000.0	25.2197	6.9603
24000.0	24.8835	6.28379
25000.0	24.4843	5.96866
26000.0	24.3577	5.90157
27000.0	24.2936	5.8581
28000.0	24.1056	5.69802
29000.0	23.5962	4.99503
30000.0	23.6221	5.06595
31000.0	23.3051	4.82284
32000.0	23.2378	4.805
33000.0	24.1565	5.74657
34000.0	24.8389	6.02265
35000.0	24.1148	5.70354
36000.0	24.6588	6.05829
37000.0	24.4701	5.92847
38000.0	23.6907	5.20645
39000.0	24.6309	6.04718
40000.0	23.7966	5.35494
41000.0	23.403	4.85034
42000.0	23.3561	4.82181
43000.0	22.2614	4.06978
44000.0	22.663	4.43324
45000.0	21.8983	3.8117
46000.0	22.6423	4.47212
47000.0	22.19	3.92736
48000.0	22.6196	4.43071
49000.0	21.6143	3.74582
50000.0	20.5874	2.99124
51000.0	21.6671	3.76644
52000.0	22.1264	3.84251
53000.0	22.8197	4.5973
54000.0	23.1942	4.79077
55000.0	22.2267	3.99849
56000.0	22.6551	4.48536
57000.0	22.7508	4.5557
58000.0	21.9091	3.81971
59000.0	20.8892	3.30464
60000.0	22.2055	3.92645
61000.0	21.5808	3.71747
62000.0	21.8193	3.77075
63000.0	22.3659	4.2032
64000.0	22.5586	4.40513
65000.0	22.4259	4.25164
66000.0	22.6284	4.46366
67000.0	22.0494	3.83007
68000.0	20.2246	2.99302
69000.0	20.5634	2.97017
70000.0	20.6882	3.13535
71000.0	21.0679	3.4845
72000.0	21.1131	3.51257
73000.0	20.9075	3.36126
74000.0	21.2819	3.61121
75000.0	21.736	3.7633
76000.0	22.1345	3.8312
77000.0	22.2402	4.0215
78000.0	21.6634	3.76003
79000.0	20.7867	3.23765
80000.0	20.7277	3.17581
81000.0	20.7263	3.18101
82000.0	22.2189	3.99
83000.0	22.7438	4.54406
84000.0	22.5387	4.36568
85000.0	22.9639	4.66246
86000.0	22.8298	4.61151
87000.0	23.0294	4.722
88000.0	22.257	4.05355
89000.0	22.2549	4.02215
90000.0	21.9473	3.79644
91000.0	22.357	4.19204
92000.0	23.0749	4.74398
93000.0	23.053	4.71205
94000.0	23.6021	4.95257
95000.0	22.5146	4.34703
96000.0	22.2452	4.0253
97000.0	21.7184	3.7736
98000.0	21.5179	3.72158
99000.0	21.1372	3.52888
100000.0	22.1147	3.82055
101000.0	22.1578	3.83998
102000.0	21.0291	3.44971
103000.0	22.3153	4.12417
104000.0	22.151	3.81847
105000.0	22.1678	3.90463
106000.0	21.929	3.81585
107000.0	21.3103	3.61929
108000.0	20.8379	3.26476
109000.0	19.3196	2.68987
110000.0	19.9809	2.92134
111000.0	19.8683	2.93088
112000.0	18.6948	2.37943
113000.0	18.959	2.37062
114000.0	20.7263	3.17911
115000.0	22.4251	4.25207
116000.0	21.8783	3.76353
117000.0	22.5573	4.38624
