x,y
10.2283,24.9854
9.48087,3.2242
23.7385,24.7482
10.3974,22.5617
7.41284,25.7054
17.2106,11.9845
27.7001,18.0265
16.7648,27.9552
21.5243,8.3084
13.2236,2.04166
4.80269,6.70142
15.3561,19.5424
10.0466,12.4793
3.56757,21.4056
16.217,13.7195
10.9503,27.3687
21.5401,11.9778
7.7647,4.16567
4.57369,23.0797
18.7238,18.9247
25.7406,18.4272
20.6781,19.328
9.31244,7.90827
19.8593,17.3106
20.0427,7.01218
8.48009,24.0139
15.2953,26.1586
18.4049,9.94805
17.4581,17.3779
15.2835,5.15926
11.5852,6.56997
17.2371,20.2098
20.5726,27.0265
23.2982,7.40054
22.2431,26.0183
19.3787,11.6907
13.4888,5.99
10.107,17.5801
22.4115,4.23166
11.2254,14.2855
9.39453,10.5647
12.857,27.8245
14.8037,28.0571
2.01981,13.8358
20.9128,24.5649
23.7321,21.8005
18.5379,15.695
18.9912,2.42012
4.00819,15.6469
17.2766,26.0331
22.4139,23.2714
8.54382,18.8265
20.1881,5.03367
6.19593,5.333
8.11207,12.9812
20.6723,22.3151
24.4095,9.00737
19.3622,20.8147
2.01588,15.7895
14.2452,22.5361
6.03595,16.622
7.8058,9.22159
20.2335,13.49
13.6838,20.6247
24.8567,20.182
21.987,20.8352
26.1797,16.5204
8.01737,16.9092
20.7724,3.16276
26.2671,14.5538
18.23,5.00081
17.1396,1.89603
5.55851,21.3515
9.12394,26.6581
28.1108,16.0909
6.01325,12.6775
4.27176,17.6108
23.9117,5.50699
7.46653,6.87337
6.53984,18.5442
10.781,4.74013
25.2391,6.97038
24.1716,13.5619
25.925,12.6162
20.6551,10.1526
9.05099,5.6924
15.1788,1.88864
19.2075,25.5979
17.2562,24.0384
9.46824,20.3068
4.79195,19.9563
16.4737,15.6915
21.7584,6.1982
26.4056,8.6691
5.96279,24.5708
10.9158,9.15071
3.596,8.25352
26.1703,21.6675
27.9068,12.2673
11.7464,10.9758
17.7114,22.0945
3.95099,13.5195
15.1,8.90614
25.0574,23.2777
15.3133,17.3662
4.23648,11.5909
27.2769,10.4197
7.14639,10.6603
2.28497,11.9604
7.25931,23.0497
25.3301,10.8702
18.2513,13.8805
22.4548,15.6994
20.4856,15.3557
18.9794,23.6393
23.4866,11.6452
22.6046,9.85022
23.9022,17.4691
15.7642,21.6406
13.5475,18.5297
11.3258,2.51869
18.7397,27.6216
9.70731,14.0414
13.2745,16.5487
21.8649,17.6087
28.1872,14.1921
27.0506,19.9176
23.0007,19.2518
6.06459,8.21545
24.4471,15.5473
12.919,25.8208
22.156,13.7229
11.6702,17.7553
13.576,10.1645
4.88297,9.76063
15.0104,24.0377
7.50644,20.6514
16.1633,7.22597
2.23896,17.8429
9.10759,22.2876
5.76507,14.3265
2.82798,10.0655
12.7468,8.39009
7.75067,14.3927
16.3282,3.76937
2.81251,19.7221
10.7357,25.2368
9.46264,3.17322
23.7416,24.7249
