trajectory_id,x,y
0,11.96,2.05
0,11.88,2.45
0,11.78,2.66
0,11.68,2.9
0,11.57,3.16
0,11.39,3.39
0,11.14,3.77
0,10.86,4.36
0,10.6,5.06
0,10.53,5.29
0,10.47,5.47
0,10.42,5.6
0,10.37,5.73
0,10.36,5.9
0,10.33,6.1
0,10.29,6.32
0,10.24,6.57
0,10.14,6.8
0,10.06,6.95
0,10.02,7.08
0,10.01,7.27
0,9.64,7.16
0,9.44,7.17
0,9.31,7.26
0,9.17,7.39
0,9.06,7.48
0,8.97,7.57
0,8.88,7.64
0,8.71,7.64
0,8.53,7.62
0,8.28,7.55
0,8.1,7.43
0,7.97,7.32
0,7.87,7.25
0,7.79,7.2
0,7.71,7.15
0,7.58,7.1
0,7.5,7.07
0,7.42,7.03
0,7.33,6.96
0,7.23,6.87
0,7.43,6.56
0,7.63,6.19
0,7.86,6.03
0,8.25,5.85
0,8.64,5.45
0,8.88,5.18
0,9.0,5.01
0,9.08,4.66
0,9.1,4.12
0,8.93,3.44
0,8.94,3.28
0,9.02,3.27
0,9.12,3.25
0,9.25,3.22
0,9.41,3.16
0,9.57,3.08
0,9.71,3.0
0,9.87,2.89
0,10.02,2.75
0,10.15,2.61
0,10.2,2.59
0,10.23,2.58
0,10.24,2.58
0,10.25,2.58
0,10.26,2.57
0,10.26,2.57
0,10.27,2.57
0,10.28,2.55
0,10.31,2.48
0,10.32,2.48
0,10.33,2.48
0,10.33,2.48
0,10.34,2.47
0,10.35,2.47
0,10.37,2.47
0,10.4,2.48
0,10.54,2.5
0,10.81,2.52
0,10.95,2.52
0,11.09,2.48
0,11.23,2.43
0,11.42,2.34
0,11.78,2.1
0,11.93,2.04
0,11.94,2.04
0,11.95,2.04
0,11.95,2.05
0,11.95,2.05
0,11.95,2.05
0,11.95,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.96,2.05
0,11.6,2.72
0,11.3,3.52
0,11.04,3.88
0,10.68,4.32
0,10.31,5.05
0,10.18,6.02
0,10.36,6.93
0,10.38,7.93
0,10.3,8.9
0,10.38,9.65
0,10.67,10.28
0,10.65,10.59
0,10.62,10.62
0,10.61,10.68
0,10.59,10.75
0,10.58,10.86
0,10.55,11.06
