Set,File,PID,angular_velocity,Band,Radius_range
1,1,137,0.2315535089434197,Outer,12-14
1,1,137,-0.0328888165663987,Outer,12-14
1,1,137,0.0069737440005486,Outer,12-14
1,1,137,0.009196012589546,Outer,12-14
1,1,137,0.0015765047059632,Outer,12-14
1,1,137,-0.0461745092697594,Outer,12-14
1,1,137,0.0187559938644223,Outer,12-14
1,1,137,0.013843093544029,Outer,12-14
1,1,137,0.0523416554837781,Outer,12-14
1,1,137,0.1320617986372543,Outer,12-14
1,1,137,0.1093471773086767,Outer,12-14
1,1,137,0.1932052537200794,Outer,12-14
1,1,137,0.3401120611440991,Outer,12-14
1,1,137,0.0279248169391199,Outer,12-14
1,1,137,0.4281779557424969,Outer,12-14
1,1,137,0.5949557995856187,Outer,12-14
1,1,137,0.1357467504216591,Outer,12-14
1,1,137,0.0676142774492585,Outer,12-14
1,1,137,0.0820906275034456,Outer,12-14
1,1,137,0.0669961320799212,Outer,12-14
1,1,137,-0.0289511426120281,Outer,12-14
1,1,137,0.2210297672865659,Outer,12-14
1,1,137,-0.0100348133648378,Outer,12-14
1,1,137,0.0665409090121635,Outer,12-14
1,1,137,0.0106901335593474,Outer,12-14
1,1,137,0.0032443715322849,Outer,12-14
1,1,137,-0.0549449894638343,Outer,12-14
1,1,137,-0.0338044577753127,Outer,12-14
1,1,137,-0.1886592475603405,Outer,12-14
1,1,137,0.2312569736430743,Outer,12-14
1,1,137,0.1208189847298508,Outer,12-14
1,1,137,0.468962639067954,Outer,12-14
1,1,137,0.6287605838851231,Outer,12-14
1,1,137,0.1282920415541948,Outer,12-14
1,1,137,-0.0177673122587722,Outer,12-14
1,1,137,0.1205387851710804,Outer,12-14
1,1,137,0.0409689272369471,Outer,12-14
1,1,137,-0.0067291877842401,Outer,12-14
1,1,137,-0.0121522879967939,Outer,12-14
1,1,137,-0.0245012800489337,Outer,12-14
1,1,137,0.0060570479816961,Outer,12-14
1,1,137,0.1315230822891782,Outer,12-14
1,1,137,-0.1701497000871494,Outer,12-14
1,1,137,-0.3178621704746369,Outer,12-14
1,1,137,0.0842695204845309,Outer,12-14
1,1,137,0.1791550544422437,Outer,12-14
1,1,137,-0.4047782807198516,Outer,12-14
1,1,137,-0.0807752100236625,Outer,12-14
1,1,137,0.7693752857258662,Outer,12-14
1,1,137,0.0635394554574935,Outer,12-14
1,1,137,-0.0656229004918791,Outer,12-14
1,1,137,0.0584070327358516,Outer,12-14
1,1,137,-0.0032541492120117,Outer,12-14
1,1,137,0.0063057151643866,Outer,12-14
1,1,137,0.1207765924527186,Outer,12-14
1,1,137,0.0263984799861027,Outer,12-14
1,1,137,0.2902395880017252,Outer,12-14
1,1,137,0.3024426061672471,Outer,12-14
1,1,137,0.4299798221019979,Outer,12-14
1,1,137,0.0427801197710575,Outer,12-14
1,1,137,0.0680775992471716,Outer,12-14
1,1,137,0.0162562029416277,Outer,12-14
